,id,year,team1,score1,score2,team2
53,53,1950,Brazil,4,0,Mexico
54,54,1950,England,2,0,Chile
55,55,1950,Spain,3,1,USA
56,56,1950,Sweden,3,2,Italy
57,57,1950,Yugoslavia,3,0,Switzerland
58,58,1950,Brazil,2,2,Switzerland
59,59,1950,Yugoslavia,4,1,Mexico
60,60,1950,Spain,2,0,Chile
61,61,1950,Sweden,2,2,Paraguay
62,62,1950,USA,1,0,England
63,63,1950,Brazil,2,0,Yugoslavia
64,64,1950,Spain,1,0,England
65,65,1950,Italy,2,0,Paraguay
66,66,1950,Uruguay,8,0,Bolivia
67,67,1950,Switzerland,2,1,Mexico
68,68,1950,Chile,5,2,USA
69,69,1950,Uruguay,2,2,Spain
70,70,1950,Brazil,7,1,Sweden
71,71,1950,Brazil,6,1,Spain
72,72,1950,Uruguay,3,2,Sweden
73,73,1950,Sweden,3,1,Spain
74,74,1950,Uruguay,2,1,Brazil
75,75,1954,Uruguay,2,0,Czechoslovakia
76,76,1954,Austria,1,0,Scotland
77,77,1954,Brazil,5,0,Mexico
78,78,1954,Yugoslavia,1,0,France
79,79,1954,Germany FR,4,1,Turkey
80,80,1954,Hungary,9,0,Korea Republic
81,81,1954,England,4,4,Belgium
82,82,1954,Switzerland,2,1,Italy
83,83,1954,Uruguay,7,0,Scotland
84,84,1954,Austria,5,0,Czechoslovakia
85,85,1954,France,3,2,Mexico
86,86,1954,Brazil,1,1,Yugoslavia
87,87,1954,Hungary,8,3,Germany FR
88,88,1954,Turkey,7,0,Korea Republic
89,89,1954,England,2,0,Switzerland
90,90,1954,Italy,4,1,Belgium
91,91,1954,Germany FR,7,2,Turkey
92,92,1954,Switzerland,4,1,Italy
93,93,1954,Uruguay,4,2,England
94,94,1954,Austria,7,5,Switzerland
95,95,1954,Germany FR,2,0,Yugoslavia
96,96,1954,Hungary,4,2,Brazil
97,97,1954,Germany FR,6,1,Austria
98,98,1954,Hungary,4,2,Uruguay
99,99,1954,Austria,3,1,Uruguay
100,100,1954,Germany FR,3,2,Hungary
101,101,1958,Sweden,3,0,Mexico
102,102,1958,Soviet Union,2,2,England
103,103,1958,Argentina,1,3,Germany FR
104,104,1958,Hungary,1,1,Wales
105,105,1958,France,7,3,Paraguay
106,106,1958,Yugoslavia,1,1,Scotland
107,107,1958,Brazil,3,0,Austria
108,108,1958,Northern Ireland,1,0,Czechoslovakia
109,109,1958,Brazil,0,0,England
110,110,1958,Mexico,1,1,Wales
111,111,1958,Paraguay,3,2,Scotland
112,112,1958,Yugoslavia,3,2,France
113,113,1958,Soviet Union,2,0,Austria
114,114,1958,Germany FR,2,2,Czechoslovakia
115,115,1958,Argentina,3,1,Northern Ireland
116,116,1958,Sweden,2,1,Hungary
117,117,1958,Sweden,0,0,Wales
118,118,1958,Brazil,2,0,Soviet Union
119,119,1958,Germany FR,2,2,Northern Ireland
120,120,1958,Hungary,4,0,Mexico
121,121,1958,Paraguay,3,3,Yugoslavia
122,122,1958,France,2,1,Scotland
123,123,1958,England,2,2,Austria
124,124,1958,Czechoslovakia,6,1,Argentina
125,125,1958,Soviet Union,1,0,England
126,126,1958,Northern Ireland,2,1,Czechoslovakia
127,127,1958,Wales,2,1,Hungary
128,128,1958,Brazil,1,0,Wales
129,129,1958,Germany FR,1,0,Yugoslavia
130,130,1958,Sweden,2,0,Soviet Union
131,131,1958,France,4,0,Northern Ireland
132,132,1958,Sweden,3,1,Germany FR
133,133,1958,Brazil,5,2,France
134,134,1958,France,6,3,Germany FR
135,135,1958,Brazil,5,2,Sweden
136,136,1962,Uruguay,2,1,Colombia
137,137,1962,Brazil,2,0,Mexico
138,138,1962,Argentina,1,0,Bulgaria
139,139,1962,Chile,3,1,Switzerland
140,140,1962,Soviet Union,2,0,Yugoslavia
141,141,1962,Czechoslovakia,1,0,Spain
142,142,1962,Hungary,2,1,England
143,143,1962,Germany FR,0,0,Italy
144,144,1962,Yugoslavia,3,1,Uruguay
